name,hasCustomObject,keyPrefix,label,labelPlural,createable,updateable,deletable,activateable,associateEntityType,associateParentEntity,compactLayoutable,custom,customSetting,deepCloneable,defaultImplementation,deprecatedAndHidden,feedEnabled,hasSubtypes,idEnabled,implementedBy,implementsInterfaces,isInterface,isSubtype,layoutable,mergeable,mruEnabled,networkScopeFieldName,queryable,replicateable,retrieveable,searchable,triggerable,undeletable,DescribeFields,RecordTypeInfos,searchLayoutable,dataTranslationEnabled
AdvAcctForecastFactAdjOwnerSharingRule,,,Advanced Account Forecast Fact Adjustment Owner Rule,Advanced Account Forecast Fact Adjustment Owner Rule,true,true,true,false,OwnerSharingRule,AdvAcctForecastFactAdj,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,,false,,,,
AdvAcctForecastMeasureDef,,0oa,Advanced Account Forecast Measure Definition,Advanced Account Forecast Measure Definition,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,,false,,,,
AdvAcctForecastPeriodGroup,,0nl,Advanced Account Forecast Period Group,Advanced Account Forecast Period Groups,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,,false,,,,
AdvAcctForecastSetPartner,true,0og,Advanced Account Forecast Set Partner,Advanced Account Forecast Set Partners,false,false,false,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,false,,,true,
AdvAcctForecastSetPartnerOwnerSharingRule,,,Advanced Account Forecast Set Partner Owner Rule,Advanced Account Forecast Set Partner Owner Rule,true,true,true,false,OwnerSharingRule,AdvAcctForecastSetPartner,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,,false,,,,
AdvAcctForecastSetUse,true,0u8,Advanced Account Forecast Set Use,Advanced Account Forecast Set Uses,false,false,false,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,false,,,true,
AdvAcctForecastSetUseOwnerSharingRule,,,Advanced Account Forecast Set Use Owner Rule,Advanced Account Forecast Set Use Owner Rule,true,true,true,false,OwnerSharingRule,AdvAcctForecastSetUse,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,,false,,,,
AdvAcctFrcstDisplayGroup,,0sD,Advanced Account Forecast Display Group,Advanced Account Forecast Display Group,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,,false,,,,
AdvAcctFrcstDplyGroupItem,,0sP,Advanced Account Forecast Display Group Item,Advanced Account Forecast Display Group Item,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,,false,,,,
AgeBandHlthRskAdjFctr,true,1Cl,Age Band Health Risk Adjustment Factor,Age Band Health Risk Adjustment Factors,false,false,false,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,false,,,true,
AgeBandHlthRskAdjFctrOwnerSharingRule,,,Age Band Health Risk Adjustment Factor Owner Rule,Age Band Health Risk Adjustment Factor Owner Rule,true,true,true,false,OwnerSharingRule,AgeBandHlthRskAdjFctr,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,,false,,,,
AgentWork,true,0Bz,Agent Work,Agent Work,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,true,true,,,,
AgentWork__c,true,a7u,AgentWork__c,AgentWork__c,true,true,true,false,,,true,true,false,false,,false,false,false,true,,,false,false,true,false,false,,true,true,true,false,true,true,,,,
AgentWork__OwnerSharingRule,,,Owner Rule: AgentWork__c,Owner Rule: AgentWork__c,true,true,true,false,OwnerSharingRule,AgentWork__c,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,,false,,,,
AgentWorkOwnerSharingRule,,,Agent Work Owner Rule,Agent Work Owner Rule,true,true,true,false,OwnerSharingRule,AgentWork,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,,false,,,,
AgentWorkSkill,true,0Sm,Agent Work Skill,Agent Work Skills,false,false,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,true,true,,,,
AggregateResult,,,Aggregate Result,Aggregate Result,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,false,false,false,false,,false,,,,
AIApplication,,0Pp,AI Application,AI Applications,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,,false,,,,
AIApplicationConfig,,6S9,AI Application config,AI Application configs,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,,false,,,,
AiEvalCopilotTestCaseRslt,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AiEvalPrmptRagTestCsRslt,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AiEvalPromptTestCaseRslt,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AiEvalTestCaseCritRslt,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AiEvalTestCaseResult,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AiEvaluation,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AiExternalModelReference,,6D8,AI External Model Reference,AI External Model References,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,,false,,,,
AiGroundingFileRef,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AiGroundingFileRefCustom__dlm,,qBm,AiGroundingFileRefCustom__dlm,AiGroundingFileRefCustom__dlm,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,false,false,,false,,,,
AiGroundingSourceStage,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AiGroundingWebRef,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIInsightAction,,9qd,AI Insight Action,AI Insight Actions,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,,false,,,,
AIInsightFeedback,,9bq,AI Insight Feedback,AI Insight Feedbacks,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,,false,,,,
AIInsightReason,,0T2,AI Insight Reason,AI Insight Reasons,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,,false,,,,
AIInsightValue,,9qc,AI Insight Value,AI Insight Values,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,,false,,,,
AIMetric,,2ai,AI Live Model Metric,AI Live Model Metrics,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,true,false,,,,
AiModelLanguage,,8mz,AI Model Language,AI Model Language,false,true,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,,false,,,,
AiPluginUtteranceDef,,31N,Generative AI Plugin Utterance Definition,Generative AI Plugin Utterance Definition,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,,false,,,,
AIPredictionEvent,,0ae,AI Prediction Event,AI Prediction Events,false,false,false,false,,,false,false,false,false,,false,false,false,false,,,false,false,false,false,false,,false,false,false,false,true,false,,,,
AIRecordInsight,,9qb,AI Record Insight,AI Record Insights,false,false,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,true,true,,,,
AirTravelEmssnFctr,true,0nt,Air Travel Emissions Factor,Air Travel Emissions Factors,false,false,false,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,false,,,true,
